year,residency,days
2004,Non-resident,122067
2004,Resident,740396
2005,Non-resident,117002
2005,Resident,703217
2006,Non-resident,112097
2006,Resident,699734
2007,Non-resident,118034
2007,Resident,785141
2008,Non-resident,116114
2008,Resident,872094
2009,Non-resident,109386
2009,Resident,824152
2010,Non-resident,117155
2010,Resident,773383
2011,Non-resident,113426
2011,Resident,809079
2012,Non-resident,113833
2012,Resident,772996
2013,Non-resident,119079
2013,Resident,801418
2014,Non-resident,126926
2014,Resident,818301
2015,Non-resident,146867
2015,Resident,902136
2016,Non-resident,145976
2016,Resident,920740
2017,Non-resident,
2017,Resident,
2018,Non-resident,143799
2018,Resident,871897
2019,Non-resident,
2019,Resident,
2020,Non-resident,147244
2020,Resident,871469